  #     XBIN        YBIN       VEL       ER_VEL      SIG       ER_SIG
 78    -1.6000     6.4000  2056.4200     4.6108   154.2954     8.1108
 79    -0.8000    -7.2000  1797.8279     5.6619   129.9607    13.7633
 80    -0.8000    -6.4000  1808.4021     2.7991   155.2452     7.3412
 81    -0.8000    -5.6000  1815.4922     2.3747   159.0285     5.4541
 82    -0.8000    -4.8000  1816.8771     2.1360   168.8564     4.8708
 83    -0.8000    -4.0000  1818.0494     1.9240   181.2522     4.8189
 84    -0.8000    -3.2000  1833.8524     1.9124   194.5129     4.0883
 85    -0.8000    -2.4000  1852.7823     1.8339   200.4936     3.4921
 86    -0.8000    -1.6000  1874.5466     1.7391   222.5042     2.8094
 87    -0.8000    -0.8000  1911.5359     1.4101   235.0235     1.7949
 88    -0.8000     0.0000  1957.6710     1.3062   238.2254     1.1954
 89    -0.8000     0.8000  1995.2768     1.6105   226.6508     1.3318
 90    -0.8000     1.6000  2016.8849     2.1140   216.9912     1.7560
 91    -0.8000     2.4000  2020.2862     2.5223   202.9279     2.2915
 92    -0.8000     3.2000  2027.1707     2.7577   187.9258     3.0377
 93    -0.8000     4.0000  2039.2183     3.2936   171.2819     4.2298
 94    -0.8000     4.8000  2046.6842     3.7058   160.3154     5.4685
 95    -0.8000     5.6000  2037.6288     4.9355   159.0155    11.6748
 96    -0.8000     6.4000  2029.3031     6.0607   161.3723    13.2525
 97     0.0000    -7.2000  1782.6902     8.2849   135.6396    13.4767
 98     0.0000    -6.4000  1783.5632     7.0667   155.6021    13.9147
 99     0.0000    -5.6000  1791.8799     2.2519   163.4676     5.3075
100     0.0000    -4.8000  1792.8359     2.0104   169.1807     5.1451
101     0.0000    -4.0000  1796.0469     1.7965   180.1663     4.6787
102     0.0000    -3.2000  1809.5643     1.7479   194.4142     3.9844
103     0.0000    -2.4000  1829.1219     1.6488   203.9828     3.3904
104     0.0000    -1.6000  1838.7761     1.4136   217.0633     2.7002
105     0.0000    -0.8000  1859.1054     1.0692   232.6416     1.7683
106     0.0000     0.0000  1902.1665     0.9988   244.2319     1.2007
107     0.0000     0.8000  1951.8499     1.3586   234.5097     1.2622
108     0.0000     1.6000  1975.7875     1.9723   227.6208     1.6876
109     0.0000     2.4000  1987.1805     2.3905   210.7648     2.1409
110     0.0000     3.2000  2005.6713     2.8960   192.3888     2.6595
111     0.0000     4.0000  2012.3240     3.4168   174.0581     4.0341
112     0.0000     4.8000  2017.3080     3.9648   164.0740     5.5351
113     0.0000     5.6000  2011.3026     4.9198   154.7761    11.8304
114     0.0000     6.4000  2012.0459     4.8583   150.6816    14.6982
115     0.8000    -8.0000  1751.9552     5.2959   124.5066     8.7187
116     0.8000    -7.2000  1760.2500     4.8863   135.6456     8.3000
117     0.8000    -6.4000  1768.8936     2.7227   148.9281     6.0545
118     0.8000    -5.6000  1765.6417     2.3077   157.0570     5.2009
119     0.8000    -4.8000  1763.9885     2.0394   158.8302     4.8267
120     0.8000    -4.0000  1765.5135     1.8291   178.5164     4.1243
121     0.8000    -3.2000  1775.1249     1.7618   191.5557     3.8224
122     0.8000    -2.4000  1794.5603     1.7461   210.0769     3.6915
123     0.8000    -1.6000  1800.9682     1.5056   217.8463     2.8972
124     0.8000    -0.8000  1816.6416     1.1433   224.9928     2.1510
